Imagen,Nivel_Ruido,Algoritmo,PSNR,F1-Score,Tiempo_ms
10081_bajo.png,bajo,sobel,6.22,0.0851,2.1
14085_bajo.png,bajo,sobel,9.36,0.0306,1.91
14092_bajo.png,bajo,sobel,8.01,0.0404,1.49
15011_bajo.png,bajo,sobel,7.67,0.1723,1.43
15062_bajo.png,bajo,sobel,9.06,0.0576,1.44
16004_bajo.png,bajo,sobel,9.28,0.1201,1.63
16068_bajo.png,bajo,sobel,10.65,0.0355,1.82
17067_bajo.png,bajo,sobel,6.99,0.0794,2.34
20069_bajo.png,bajo,sobel,6.93,0.1606,1.75
2018_bajo.png,bajo,sobel,4.78,0.1886,1.97
23050_bajo.png,bajo,sobel,9.48,0.1402,1.56
3063_bajo.png,bajo,sobel,5.85,0.1908,1.49
5096_bajo.png,bajo,sobel,11.05,0.1303,1.45
6046_bajo.png,bajo,sobel,7.34,0.0668,1.41
8068_bajo.png,bajo,sobel,8.14,0.1665,1.43
10081_bajo.png,bajo,prewitt,5.47,0.0487,0.23
14085_bajo.png,bajo,prewitt,7.95,0.0282,0.19
14092_bajo.png,bajo,prewitt,6.56,0.0303,0.19
15011_bajo.png,bajo,prewitt,7.03,0.1528,0.2
15062_bajo.png,bajo,prewitt,7.06,0.0914,0.19
16004_bajo.png,bajo,prewitt,8.2,0.123,0.18
16068_bajo.png,bajo,prewitt,9.81,0.0352,0.21
17067_bajo.png,bajo,prewitt,6.73,0.0764,0.19
20069_bajo.png,bajo,prewitt,6.0,0.152,0.27
2018_bajo.png,bajo,prewitt,4.61,0.1591,0.19
23050_bajo.png,bajo,prewitt,9.29,0.1362,0.22
3063_bajo.png,bajo,prewitt,5.07,0.1633,0.19
5096_bajo.png,bajo,prewitt,11.5,0.1159,0.19
6046_bajo.png,bajo,prewitt,6.77,0.0695,0.19
8068_bajo.png,bajo,prewitt,7.44,0.2022,0.2
10081_bajo.png,bajo,canny,4.7,0.0714,3.07
14085_bajo.png,bajo,canny,6.01,0.0283,0.6
14092_bajo.png,bajo,canny,4.96,0.0331,0.56
15011_bajo.png,bajo,canny,5.59,0.1331,0.5
15062_bajo.png,bajo,canny,5.86,0.0486,0.49
16004_bajo.png,bajo,canny,6.58,0.0973,0.46
16068_bajo.png,bajo,canny,7.87,0.0417,0.52
17067_bajo.png,bajo,canny,5.16,0.0586,0.69
20069_bajo.png,bajo,canny,5.12,0.1284,0.43
2018_bajo.png,bajo,canny,3.88,0.15,0.68
23050_bajo.png,bajo,canny,7.3,0.115,0.49
3063_bajo.png,bajo,canny,4.34,0.1288,0.3
5096_bajo.png,bajo,canny,8.45,0.1071,0.43
6046_bajo.png,bajo,canny,5.07,0.0512,0.64
8068_bajo.png,bajo,canny,6.63,0.1054,0.41
10081_bajo.png,bajo,pidinet,5.63,0.1562,206.55
14085_bajo.png,bajo,pidinet,6.75,0.0446,152.69
14092_bajo.png,bajo,pidinet,5.88,0.0926,156.88
15011_bajo.png,bajo,pidinet,6.85,0.1922,159.27
15062_bajo.png,bajo,pidinet,5.72,0.1549,162.96
16004_bajo.png,bajo,pidinet,8.06,0.1537,167.76
16068_bajo.png,bajo,pidinet,9.33,0.1423,169.03
17067_bajo.png,bajo,pidinet,7.15,0.1578,171.32
20069_bajo.png,bajo,pidinet,6.31,0.1505,170.48
2018_bajo.png,bajo,pidinet,4.81,0.1618,170.06
23050_bajo.png,bajo,pidinet,9.0,0.184,178.2
3063_bajo.png,bajo,pidinet,4.94,0.1201,166.97
5096_bajo.png,bajo,pidinet,10.95,0.1931,167.53
6046_bajo.png,bajo,pidinet,6.24,0.1543,168.78
8068_bajo.png,bajo,pidinet,7.73,0.1723,169.37
10081_bajo.png,bajo,dexined,9.5,0.0331,606.62
14085_bajo.png,bajo,dexined,8.88,0.0177,526.59
14092_bajo.png,bajo,dexined,8.74,0.0351,524.74
15011_bajo.png,bajo,dexined,8.3,0.0595,530.13
15062_bajo.png,bajo,dexined,8.13,0.0286,519.22
16004_bajo.png,bajo,dexined,8.29,0.0511,532.53
16068_bajo.png,bajo,dexined,8.72,0.0246,542.28
17067_bajo.png,bajo,dexined,7.55,0.0388,535.66
20069_bajo.png,bajo,dexined,8.34,0.0302,541.63
2018_bajo.png,bajo,dexined,6.92,0.0602,551.05
23050_bajo.png,bajo,dexined,7.92,0.0709,551.16
3063_bajo.png,bajo,dexined,9.04,0.0129,558.96
5096_bajo.png,bajo,dexined,7.72,0.053,554.27
6046_bajo.png,bajo,dexined,8.03,0.0387,546.13
8068_bajo.png,bajo,dexined,7.04,0.0284,553.22
10081_medio.png,medio,sobel,6.52,0.0838,1.5
14085_medio.png,medio,sobel,9.48,0.0294,1.63
14092_medio.png,medio,sobel,8.14,0.0395,1.39
15011_medio.png,medio,sobel,7.85,0.1722,1.46
15062_medio.png,medio,sobel,9.16,0.0584,1.45
16004_medio.png,medio,sobel,9.42,0.1184,1.48
16068_medio.png,medio,sobel,10.75,0.0354,1.47
17067_medio.png,medio,sobel,7.12,0.0799,1.46
20069_medio.png,medio,sobel,7.18,0.1603,1.43
2018_medio.png,medio,sobel,4.99,0.1885,1.8
23050_medio.png,medio,sobel,9.57,0.1397,1.5
3063_medio.png,medio,sobel,6.15,0.1847,1.42
5096_medio.png,medio,sobel,11.19,0.1305,1.53
6046_medio.png,medio,sobel,7.45,0.0665,1.59
8068_medio.png,medio,sobel,8.29,0.1631,1.48
10081_medio.png,medio,prewitt,5.59,0.0476,0.21
14085_medio.png,medio,prewitt,8.0,0.029,0.19
14092_medio.png,medio,prewitt,6.62,0.0292,0.23
15011_medio.png,medio,prewitt,7.11,0.1516,0.19
15062_medio.png,medio,prewitt,7.1,0.0913,0.19
