Imagen,Nivel_Ruido,Algoritmo,PSNR,F1-Score,Tiempo_ms
10081_bajo.png,bajo,sobel,6.22,0.0851,1.92
14085_bajo.png,bajo,sobel,9.36,0.0306,1.58
14092_bajo.png,bajo,sobel,8.01,0.0404,1.48
15011_bajo.png,bajo,sobel,7.67,0.1723,1.43
15062_bajo.png,bajo,sobel,9.06,0.0576,1.52
16004_bajo.png,bajo,sobel,9.28,0.1201,1.52
16068_bajo.png,bajo,sobel,10.65,0.0355,1.6
17067_bajo.png,bajo,sobel,6.99,0.0794,1.47
20069_bajo.png,bajo,sobel,6.93,0.1606,1.69
2018_bajo.png,bajo,sobel,4.78,0.1886,1.63
23050_bajo.png,bajo,sobel,9.48,0.1402,1.79
3063_bajo.png,bajo,sobel,5.85,0.1908,1.5
5096_bajo.png,bajo,sobel,11.05,0.1303,1.61
6046_bajo.png,bajo,sobel,7.34,0.0668,1.91
8068_bajo.png,bajo,sobel,8.14,0.1665,1.79
10081_bajo.png,bajo,prewitt,5.47,0.0487,0.2
14085_bajo.png,bajo,prewitt,7.95,0.0282,0.19
14092_bajo.png,bajo,prewitt,6.56,0.0303,0.19
15011_bajo.png,bajo,prewitt,7.03,0.1528,0.2
15062_bajo.png,bajo,prewitt,7.06,0.0914,0.19
16004_bajo.png,bajo,prewitt,8.2,0.123,0.26
16068_bajo.png,bajo,prewitt,9.81,0.0352,0.19
17067_bajo.png,bajo,prewitt,6.73,0.0764,0.2
20069_bajo.png,bajo,prewitt,6.0,0.152,0.2
2018_bajo.png,bajo,prewitt,4.61,0.1591,0.21
23050_bajo.png,bajo,prewitt,9.29,0.1362,0.2
3063_bajo.png,bajo,prewitt,5.07,0.1633,0.19
5096_bajo.png,bajo,prewitt,11.5,0.1159,0.22
6046_bajo.png,bajo,prewitt,6.77,0.0695,0.24
8068_bajo.png,bajo,prewitt,7.44,0.2022,0.23
10081_bajo.png,bajo,canny,4.7,0.0714,0.51
14085_bajo.png,bajo,canny,6.01,0.0283,0.56
14092_bajo.png,bajo,canny,4.96,0.0331,0.55
15011_bajo.png,bajo,canny,5.59,0.1331,0.54
15062_bajo.png,bajo,canny,5.86,0.0486,0.53
16004_bajo.png,bajo,canny,6.58,0.0973,0.47
16068_bajo.png,bajo,canny,7.87,0.0417,0.56
17067_bajo.png,bajo,canny,5.16,0.0586,0.53
20069_bajo.png,bajo,canny,5.12,0.1284,0.43
2018_bajo.png,bajo,canny,3.88,0.15,0.5
23050_bajo.png,bajo,canny,7.3,0.115,0.45
3063_bajo.png,bajo,canny,4.34,0.1288,0.25
5096_bajo.png,bajo,canny,8.45,0.1071,0.47
6046_bajo.png,bajo,canny,5.07,0.0512,0.66
8068_bajo.png,bajo,canny,6.63,0.1054,0.44
10081_bajo.png,bajo,pidinet,5.63,0.1562,159.53
14085_bajo.png,bajo,pidinet,6.75,0.0446,158.1
14092_bajo.png,bajo,pidinet,5.88,0.0926,154.88
15011_bajo.png,bajo,pidinet,6.85,0.1922,166.51
15062_bajo.png,bajo,pidinet,5.72,0.1549,170.08
16004_bajo.png,bajo,pidinet,8.06,0.1537,169.57
16068_bajo.png,bajo,pidinet,9.33,0.1423,169.12
17067_bajo.png,bajo,pidinet,7.15,0.1578,163.68
20069_bajo.png,bajo,pidinet,6.31,0.1505,172.99
2018_bajo.png,bajo,pidinet,4.81,0.1618,172.34
23050_bajo.png,bajo,pidinet,9.0,0.184,165.18
3063_bajo.png,bajo,pidinet,4.94,0.1201,168.96
5096_bajo.png,bajo,pidinet,10.95,0.1931,171.62
6046_bajo.png,bajo,pidinet,6.24,0.1543,182.85
