Imagen,Nivel_Ruido,Algoritmo,PSNR,F1-Score,Tiempo_ms
14092_medio.png,medio,prewitt,6.62,0.0292,0.24
15011_medio.png,medio,prewitt,7.11,0.1516,0.24
15062_medio.png,medio,prewitt,7.1,0.0913,0.24
16004_medio.png,medio,prewitt,8.25,0.122,0.23
16068_medio.png,medio,prewitt,9.86,0.035,0.24
17067_medio.png,medio,prewitt,6.8,0.0762,0.27
20069_medio.png,medio,prewitt,6.1,0.1462,0.25
2018_medio.png,medio,prewitt,4.71,0.1587,0.24
23050_medio.png,medio,prewitt,9.34,0.1366,0.26
3063_medio.png,medio,prewitt,5.19,0.1579,0.25
5096_medio.png,medio,prewitt,11.59,0.118,0.24
6046_medio.png,medio,prewitt,6.83,0.0693,0.24
8068_medio.png,medio,prewitt,7.51,0.2002,0.23
10081_medio.png,medio,canny,4.7,0.0689,0.43
14085_medio.png,medio,canny,5.99,0.0256,0.51
14092_medio.png,medio,canny,4.95,0.0321,0.63
15011_medio.png,medio,canny,5.57,0.1317,0.58
15062_medio.png,medio,canny,5.86,0.0471,0.59
16004_medio.png,medio,canny,6.57,0.0987,0.59
16068_medio.png,medio,canny,7.82,0.0421,1.21
17067_medio.png,medio,canny,5.13,0.0557,0.61
20069_medio.png,medio,canny,5.12,0.1358,0.42
2018_medio.png,medio,canny,3.88,0.1495,0.55
23050_medio.png,medio,canny,7.28,0.1153,0.99
3063_medio.png,medio,canny,4.34,0.1241,0.32
5096_medio.png,medio,canny,8.37,0.1056,0.5
6046_medio.png,medio,canny,5.07,0.0521,1.24
8068_medio.png,medio,canny,6.62,0.1005,0.41
10081_medio.png,medio,pidinet,5.61,0.1555,182.23
14085_medio.png,medio,pidinet,6.75,0.044,187.39
14092_medio.png,medio,pidinet,5.83,0.0926,171.71
15011_medio.png,medio,pidinet,6.82,0.1925,175.76
15062_medio.png,medio,pidinet,5.74,0.1683,175.11
16004_medio.png,medio,pidinet,8.11,0.1583,174.23
16068_medio.png,medio,pidinet,9.38,0.1408,174.39
17067_medio.png,medio,pidinet,7.16,0.1572,173.83
20069_medio.png,medio,pidinet,6.17,0.1597,171.82
2018_medio.png,medio,pidinet,4.79,0.1635,174.57
23050_medio.png,medio,pidinet,8.97,0.1814,177.93
3063_medio.png,medio,pidinet,4.86,0.1265,169.42
5096_medio.png,medio,pidinet,10.95,0.1854,171.33
6046_medio.png,medio,pidinet,6.24,0.1532,172.52
8068_medio.png,medio,pidinet,7.69,0.1742,171.23
10081_medio.png,medio,dexined,9.48,0.0332,657.7
14085_medio.png,medio,dexined,8.88,0.0176,644.36
14092_medio.png,medio,dexined,8.73,0.035,627.21
15011_medio.png,medio,dexined,8.3,0.0593,624.28
15062_medio.png,medio,dexined,8.11,0.0286,636.36
16004_medio.png,medio,dexined,8.29,0.0513,629.55
16068_medio.png,medio,dexined,8.71,0.0243,631.38
17067_medio.png,medio,dexined,7.55,0.0387,615.79
20069_medio.png,medio,dexined,8.34,0.0306,625.29
2018_medio.png,medio,dexined,6.91,0.0601,624.26
23050_medio.png,medio,dexined,7.92,0.0715,618.56
3063_medio.png,medio,dexined,9.03,0.0133,632.29
5096_medio.png,medio,dexined,7.73,0.0523,619.74
6046_medio.png,medio,dexined,8.03,0.0384,622.64
8068_medio.png,medio,dexined,7.04,0.0285,606.26
10081_alto.png,alto,sobel,6.93,0.0835,1.78
14085_alto.png,alto,sobel,9.62,0.0279,1.83
14092_alto.png,alto,sobel,8.3,0.0398,1.74
15011_alto.png,alto,sobel,8.06,0.1688,1.74
15062_alto.png,alto,sobel,9.28,0.0568,1.79
16004_alto.png,alto,sobel,9.58,0.1175,1.69
16068_alto.png,alto,sobel,10.87,0.0353,1.77
17067_alto.png,alto,sobel,7.23,0.0776,1.79
20069_alto.png,alto,sobel,7.48,0.1562,1.9
2018_alto.png,alto,sobel,5.22,0.1866,1.8
23050_alto.png,alto,sobel,9.64,0.1376,1.78
