Imagen,Nivel_Ruido,Algoritmo,PSNR,F1-Score,Tiempo_ms
10081_bajo.png,bajo,sobel,6.22,0.0851,1.43
14085_bajo.png,bajo,sobel,9.36,0.0306,1.59
14092_bajo.png,bajo,sobel,8.01,0.0404,1.39
15011_bajo.png,bajo,sobel,7.67,0.1723,1.57
15062_bajo.png,bajo,sobel,9.06,0.0576,1.49
16004_bajo.png,bajo,sobel,9.28,0.1201,1.45
16068_bajo.png,bajo,sobel,10.65,0.0355,1.54
17067_bajo.png,bajo,sobel,6.99,0.0794,1.47
20069_bajo.png,bajo,sobel,6.93,0.1606,1.52
2018_bajo.png,bajo,sobel,4.78,0.1886,1.44
23050_bajo.png,bajo,sobel,9.48,0.1402,1.76
3063_bajo.png,bajo,sobel,5.85,0.1908,1.77
5096_bajo.png,bajo,sobel,11.05,0.1303,1.85
6046_bajo.png,bajo,sobel,7.34,0.0668,1.8
8068_bajo.png,bajo,sobel,8.14,0.1665,1.85
10081_bajo.png,bajo,prewitt,5.47,0.0487,0.19
14085_bajo.png,bajo,prewitt,7.95,0.0282,0.19
14092_bajo.png,bajo,prewitt,6.56,0.0303,0.2
15011_bajo.png,bajo,prewitt,7.03,0.1528,0.19
15062_bajo.png,bajo,prewitt,7.06,0.0914,0.2
16004_bajo.png,bajo,prewitt,8.2,0.123,0.19
16068_bajo.png,bajo,prewitt,9.81,0.0352,0.21
17067_bajo.png,bajo,prewitt,6.73,0.0764,0.19
20069_bajo.png,bajo,prewitt,6.0,0.152,0.19
2018_bajo.png,bajo,prewitt,4.61,0.1591,0.19
23050_bajo.png,bajo,prewitt,9.29,0.1362,0.23
3063_bajo.png,bajo,prewitt,5.07,0.1633,0.24
5096_bajo.png,bajo,prewitt,11.5,0.1159,0.24
6046_bajo.png,bajo,prewitt,6.77,0.0695,0.25
8068_bajo.png,bajo,prewitt,7.44,0.2022,0.24
10081_bajo.png,bajo,canny,4.7,0.0714,0.73
14085_bajo.png,bajo,canny,6.01,0.0283,0.47
14092_bajo.png,bajo,canny,4.96,0.0331,0.58
15011_bajo.png,bajo,canny,5.59,0.1331,0.42
15062_bajo.png,bajo,canny,5.86,0.0486,0.6
16004_bajo.png,bajo,canny,6.58,0.0973,0.5
16068_bajo.png,bajo,canny,7.87,0.0417,0.5
17067_bajo.png,bajo,canny,5.16,0.0586,0.59
20069_bajo.png,bajo,canny,5.12,0.1284,0.47
2018_bajo.png,bajo,canny,3.88,0.15,0.44
23050_bajo.png,bajo,canny,7.3,0.115,0.56
3063_bajo.png,bajo,canny,4.34,0.1288,0.35
5096_bajo.png,bajo,canny,8.45,0.1071,0.43
6046_bajo.png,bajo,canny,5.07,0.0512,0.69
8068_bajo.png,bajo,canny,6.63,0.1054,0.44
10081_bajo.png,bajo,pidinet,5.63,0.1562,164.49
14085_bajo.png,bajo,pidinet,6.75,0.0446,157.01
14092_bajo.png,bajo,pidinet,5.88,0.0926,172.82
15011_bajo.png,bajo,pidinet,6.85,0.1922,171.1
15062_bajo.png,bajo,pidinet,5.72,0.1549,171.02
16004_bajo.png,bajo,pidinet,8.06,0.1537,172.17
16068_bajo.png,bajo,pidinet,9.33,0.1423,169.67
17067_bajo.png,bajo,pidinet,7.15,0.1578,165.2
20069_bajo.png,bajo,pidinet,6.31,0.1505,171.77
2018_bajo.png,bajo,pidinet,4.81,0.1618,168.9
23050_bajo.png,bajo,pidinet,9.0,0.184,172.46
3063_bajo.png,bajo,pidinet,4.94,0.1201,171.39
5096_bajo.png,bajo,pidinet,10.95,0.1931,171.65
6046_bajo.png,bajo,pidinet,6.24,0.1543,169.19
8068_bajo.png,bajo,pidinet,7.73,0.1723,173.97
10081_bajo.png,bajo,dexined,9.5,0.0331,527.71
14085_bajo.png,bajo,dexined,8.88,0.0177,564.78
14092_bajo.png,bajo,dexined,8.74,0.0351,557.67
15011_bajo.png,bajo,dexined,8.3,0.0595,552.73
15062_bajo.png,bajo,dexined,8.13,0.0286,553.83
16004_bajo.png,bajo,dexined,8.29,0.0511,552.89
16068_bajo.png,bajo,dexined,8.72,0.0246,559.28
17067_bajo.png,bajo,dexined,7.55,0.0388,558.79
20069_bajo.png,bajo,dexined,8.34,0.0302,567.03
2018_bajo.png,bajo,dexined,6.92,0.0602,576.89
23050_bajo.png,bajo,dexined,7.92,0.0709,618.48
3063_bajo.png,bajo,dexined,9.04,0.0129,620.36
5096_bajo.png,bajo,dexined,7.72,0.053,632.12
6046_bajo.png,bajo,dexined,8.03,0.0387,612.98
8068_bajo.png,bajo,dexined,7.04,0.0284,618.59
10081_medio.png,medio,sobel,6.52,0.0838,1.78
14085_medio.png,medio,sobel,9.48,0.0294,1.81
14092_medio.png,medio,sobel,8.14,0.0395,1.8
15011_medio.png,medio,sobel,7.85,0.1722,1.8
15062_medio.png,medio,sobel,9.16,0.0584,1.74
16004_medio.png,medio,sobel,9.42,0.1184,1.72
16068_medio.png,medio,sobel,10.75,0.0354,1.82
17067_medio.png,medio,sobel,7.12,0.0799,1.75
20069_medio.png,medio,sobel,7.18,0.1603,1.77
2018_medio.png,medio,sobel,4.99,0.1885,1.81
23050_medio.png,medio,sobel,9.57,0.1397,1.77
3063_medio.png,medio,sobel,6.15,0.1847,1.78
5096_medio.png,medio,sobel,11.19,0.1305,1.71
6046_medio.png,medio,sobel,7.45,0.0665,1.99
8068_medio.png,medio,sobel,8.29,0.1631,1.88
10081_medio.png,medio,prewitt,5.59,0.0476,0.25
14085_medio.png,medio,prewitt,8.0,0.029,0.26
14092_medio.png,medio,prewitt,6.62,0.0292,0.24
15011_medio.png,medio,prewitt,7.11,0.1516,0.24
15062_medio.png,medio,prewitt,7.1,0.0913,0.24
16004_medio.png,medio,prewitt,8.25,0.122,0.23
16068_medio.png,medio,prewitt,9.86,0.035,0.24
17067_medio.png,medio,prewitt,6.8,0.0762,0.24
20069_medio.png,medio,prewitt,6.1,0.1462,0.25
2018_medio.png,medio,prewitt,4.71,0.1587,0.24
23050_medio.png,medio,prewitt,9.34,0.1366,0.24
3063_medio.png,medio,prewitt,5.19,0.1579,0.24
5096_medio.png,medio,prewitt,11.59,0.118,0.23
6046_medio.png,medio,prewitt,6.83,0.0693,0.33
8068_medio.png,medio,prewitt,7.51,0.2002,0.26
10081_medio.png,medio,canny,4.7,0.0689,0.44
14085_medio.png,medio,canny,5.99,0.0256,0.53
14092_medio.png,medio,canny,4.95,0.0321,0.61
15011_medio.png,medio,canny,5.57,0.1317,0.58
15062_medio.png,medio,canny,5.86,0.0471,0.57
16004_medio.png,medio,canny,6.57,0.0987,0.55
16068_medio.png,medio,canny,7.82,0.0421,0.55
17067_medio.png,medio,canny,5.13,0.0557,1.43
20069_medio.png,medio,canny,5.12,0.1358,0.39
2018_medio.png,medio,canny,3.88,0.1495,0.58
23050_medio.png,medio,canny,7.28,0.1153,0.48
3063_medio.png,medio,canny,4.34,0.1241,0.39
5096_medio.png,medio,canny,8.37,0.1056,0.48
6046_medio.png,medio,canny,5.07,0.0521,0.59
8068_medio.png,medio,canny,6.62,0.1005,0.39
10081_medio.png,medio,pidinet,5.61,0.1555,173.34
14085_medio.png,medio,pidinet,6.75,0.044,170.16
14092_medio.png,medio,pidinet,5.83,0.0926,174.36
15011_medio.png,medio,pidinet,6.82,0.1925,168.01
15062_medio.png,medio,pidinet,5.74,0.1683,170.1
16004_medio.png,medio,pidinet,8.11,0.1583,169.22
16068_medio.png,medio,pidinet,9.38,0.1408,173.0
17067_medio.png,medio,pidinet,7.16,0.1572,166.77
20069_medio.png,medio,pidinet,6.17,0.1597,173.09
2018_medio.png,medio,pidinet,4.79,0.1635,169.37
23050_medio.png,medio,pidinet,8.97,0.1814,171.31
3063_medio.png,medio,pidinet,4.86,0.1265,167.48
5096_medio.png,medio,pidinet,10.95,0.1854,171.49
6046_medio.png,medio,pidinet,6.24,0.1532,172.15
8068_medio.png,medio,pidinet,7.69,0.1742,181.18
10081_medio.png,medio,dexined,9.48,0.0332,624.74
14085_medio.png,medio,dexined,8.88,0.0176,611.73
14092_medio.png,medio,dexined,8.73,0.035,606.65
15011_medio.png,medio,dexined,8.3,0.0593,618.87
15062_medio.png,medio,dexined,8.11,0.0286,620.34
16004_medio.png,medio,dexined,8.29,0.0513,607.8
16068_medio.png,medio,dexined,8.71,0.0243,603.59
17067_medio.png,medio,dexined,7.55,0.0387,607.5
20069_medio.png,medio,dexined,8.34,0.0306,622.55
2018_medio.png,medio,dexined,6.91,0.0601,602.48
23050_medio.png,medio,dexined,7.92,0.0715,602.99
3063_medio.png,medio,dexined,9.03,0.0133,616.72
5096_medio.png,medio,dexined,7.73,0.0523,620.74
6046_medio.png,medio,dexined,8.03,0.0384,632.11
8068_medio.png,medio,dexined,7.04,0.0285,620.33
10081_alto.png,alto,sobel,6.93,0.0835,1.86
14085_alto.png,alto,sobel,9.62,0.0279,1.74
14092_alto.png,alto,sobel,8.3,0.0398,1.79
15011_alto.png,alto,sobel,8.06,0.1688,1.93
15062_alto.png,alto,sobel,9.28,0.0568,2.09
16004_alto.png,alto,sobel,9.58,0.1175,1.71
16068_alto.png,alto,sobel,10.87,0.0353,1.89
17067_alto.png,alto,sobel,7.23,0.0776,1.78
20069_alto.png,alto,sobel,7.48,0.1562,1.74
2018_alto.png,alto,sobel,5.22,0.1866,1.74
23050_alto.png,alto,sobel,9.64,0.1376,1.76
3063_alto.png,alto,sobel,6.51,0.1752,1.71
5096_alto.png,alto,sobel,11.29,0.131,1.74
6046_alto.png,alto,sobel,7.56,0.0652,1.75
8068_alto.png,alto,sobel,8.43,0.1594,1.75
10081_alto.png,alto,prewitt,5.75,0.0482,0.24
14085_alto.png,alto,prewitt,8.06,0.0265,0.23
14092_alto.png,alto,prewitt,6.69,0.0298,0.23
15011_alto.png,alto,prewitt,7.2,0.1485,0.24
15062_alto.png,alto,prewitt,7.15,0.0893,0.24
16004_alto.png,alto,prewitt,8.32,0.1229,0.23
16068_alto.png,alto,prewitt,9.93,0.0354,0.24
17067_alto.png,alto,prewitt,6.87,0.0777,0.24
20069_alto.png,alto,prewitt,6.22,0.149,0.23
2018_alto.png,alto,prewitt,4.81,0.1583,0.25
23050_alto.png,alto,prewitt,9.39,0.1344,0.24
3063_alto.png,alto,prewitt,5.33,0.1583,0.23
5096_alto.png,alto,prewitt,11.68,0.1168,0.23
6046_alto.png,alto,prewitt,6.89,0.0691,0.24
8068_alto.png,alto,prewitt,7.59,0.199,0.23
10081_alto.png,alto,canny,4.7,0.0678,1.01
14085_alto.png,alto,canny,5.98,0.0235,0.55
14092_alto.png,alto,canny,4.94,0.0309,0.65
15011_alto.png,alto,canny,5.54,0.1302,0.58
15062_alto.png,alto,canny,5.85,0.0457,0.65
16004_alto.png,alto,canny,6.54,0.0966,0.57
16068_alto.png,alto,canny,7.77,0.0382,0.64
17067_alto.png,alto,canny,5.07,0.0556,0.56
20069_alto.png,alto,canny,5.11,0.1322,0.37
2018_alto.png,alto,canny,3.86,0.1468,0.56
23050_alto.png,alto,canny,7.25,0.1155,0.5
3063_alto.png,alto,canny,4.34,0.1105,0.42
5096_alto.png,alto,canny,8.25,0.1049,0.51
6046_alto.png,alto,canny,5.04,0.0498,0.72
8068_alto.png,alto,canny,6.6,0.0959,0.41
10081_alto.png,alto,pidinet,5.6,0.1527,174.3
14085_alto.png,alto,pidinet,6.75,0.0411,171.99
14092_alto.png,alto,pidinet,5.83,0.0756,169.44
15011_alto.png,alto,pidinet,6.82,0.1927,170.29
15062_alto.png,alto,pidinet,5.72,0.1765,168.65
16004_alto.png,alto,pidinet,8.07,0.1564,175.18
16068_alto.png,alto,pidinet,9.4,0.1405,176.39
17067_alto.png,alto,pidinet,7.17,0.1581,171.29
20069_alto.png,alto,pidinet,6.07,0.1618,170.23
2018_alto.png,alto,pidinet,4.76,0.1628,168.38
23050_alto.png,alto,pidinet,8.91,0.1807,172.84
3063_alto.png,alto,pidinet,4.78,0.1278,172.45
5096_alto.png,alto,pidinet,10.86,0.1738,169.29
6046_alto.png,alto,pidinet,6.24,0.1575,170.99
8068_alto.png,alto,pidinet,7.69,0.1739,170.43
10081_alto.png,alto,dexined,9.46,0.033,626.17
14085_alto.png,alto,dexined,8.87,0.0174,623.33
