Imagen,Nivel_Ruido,Algoritmo,PSNR,F1-Score,Tiempo_ms
10081_bajo.png,bajo,sobel,6.22,0.0851,1.4
14085_bajo.png,bajo,sobel,9.36,0.0306,1.52
14092_bajo.png,bajo,sobel,8.01,0.0404,1.53
15011_bajo.png,bajo,sobel,7.67,0.1723,1.48
15062_bajo.png,bajo,sobel,9.06,0.0576,1.44
16004_bajo.png,bajo,sobel,9.28,0.1201,1.45
16068_bajo.png,bajo,sobel,10.65,0.0355,1.45
17067_bajo.png,bajo,sobel,6.99,0.0794,1.89
20069_bajo.png,bajo,sobel,6.93,0.1606,1.46
2018_bajo.png,bajo,sobel,4.78,0.1886,1.51
23050_bajo.png,bajo,sobel,9.48,0.1402,1.59
3063_bajo.png,bajo,sobel,5.85,0.1908,1.48
5096_bajo.png,bajo,sobel,11.05,0.1303,1.48
6046_bajo.png,bajo,sobel,7.34,0.0668,1.48
8068_bajo.png,bajo,sobel,8.14,0.1665,1.43
10081_bajo.png,bajo,prewitt,5.47,0.0487,0.2
14085_bajo.png,bajo,prewitt,7.95,0.0282,0.19
14092_bajo.png,bajo,prewitt,6.56,0.0303,0.19
15011_bajo.png,bajo,prewitt,7.03,0.1528,0.23
15062_bajo.png,bajo,prewitt,7.06,0.0914,0.19
16004_bajo.png,bajo,prewitt,8.2,0.123,0.19
16068_bajo.png,bajo,prewitt,9.81,0.0352,0.19
17067_bajo.png,bajo,prewitt,6.73,0.0764,0.32
20069_bajo.png,bajo,prewitt,6.0,0.152,0.2
2018_bajo.png,bajo,prewitt,4.61,0.1591,0.2
23050_bajo.png,bajo,prewitt,9.29,0.1362,0.19
3063_bajo.png,bajo,prewitt,5.07,0.1633,0.19
5096_bajo.png,bajo,prewitt,11.5,0.1159,0.2
6046_bajo.png,bajo,prewitt,6.77,0.0695,0.19
8068_bajo.png,bajo,prewitt,7.44,0.2022,0.19
10081_bajo.png,bajo,canny,4.7,0.0714,0.44
14085_bajo.png,bajo,canny,6.01,0.0283,0.43
14092_bajo.png,bajo,canny,4.96,0.0331,0.52
15011_bajo.png,bajo,canny,5.59,0.1331,0.46
15062_bajo.png,bajo,canny,5.86,0.0486,0.52
16004_bajo.png,bajo,canny,6.58,0.0973,0.54
16068_bajo.png,bajo,canny,7.87,0.0417,0.57
17067_bajo.png,bajo,canny,5.16,0.0586,0.61
20069_bajo.png,bajo,canny,5.12,0.1284,0.35
2018_bajo.png,bajo,canny,3.88,0.15,0.47
23050_bajo.png,bajo,canny,7.3,0.115,0.42
3063_bajo.png,bajo,canny,4.34,0.1288,0.32
5096_bajo.png,bajo,canny,8.45,0.1071,0.44
6046_bajo.png,bajo,canny,5.07,0.0512,0.65
8068_bajo.png,bajo,canny,6.63,0.1054,0.39
10081_bajo.png,bajo,pidinet,5.63,0.1562,178.9
14085_bajo.png,bajo,pidinet,6.75,0.0446,158.29
14092_bajo.png,bajo,pidinet,5.88,0.0926,153.08
