Algoritmo,Nivel_Ruido,PSNR,F1-Score,Tiempo_ms
canny,alto,5.789333333333333,0.08294,0.5404
canny,bajo,5.834666666666667,0.08653333333333334,0.5344
canny,medio,5.8180000000000005,0.08565333333333335,0.5316
dexined,alto,8.195333333333332,0.03874,598.4756
dexined,bajo,8.208,0.03885333333333334,567.1594666666666
dexined,medio,8.203333333333333,0.03884666666666667,589.2861333333333
pidinet,alto,6.978000000000001,0.14879333333333333,170.25466666666668
pidinet,bajo,7.023333333333333,0.14869333333333334,169.08733333333333
pidinet,medio,7.004666666666667,0.15020666666666666,171.15773333333334
prewitt,alto,7.458666666666667,0.10421333333333332,0.2316
prewitt,bajo,7.299333333333334,0.10561333333333332,0.2124
prewitt,medio,7.373333333333333,0.10458666666666667,0.2276
sobel,alto,8.4,0.10789333333333334,1.7076
sobel,bajo,8.054,0.11098666666666666,1.6158666666666666
sobel,medio,8.217333333333332,0.11002,1.6910666666666667
